,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
127,Patrick Mahomes,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Keelan Cole,Eric Ebron,George Kittle,Minnesota Vikings,143.36200000000002,49900
128,Deshaun Watson,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Nelson Agholor,Dallas Cowboys,143.358,49500
129,Matt Ryan,Todd Gurley,Giovani Bernard,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,George Kittle,Minnesota Vikings,143.35200000000003,49500
130,Matt Ryan,Corey Clement,Alvin Kamara,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Giovani Bernard,Dallas Cowboys,143.32200000000003,49900
131,Matt Ryan,Kareem Hunt,Latavius Murray,Julio Jones,Michael Thomas,Allen Robinson,Eric Ebron,George Kittle,Dallas Cowboys,143.29200000000003,49800
132,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Nelson Agholor,George Kittle,Alvin Kamara,Dallas Cowboys,143.27200000000002,49900
133,Matt Ryan,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Sammy Watkins,Eric Ebron,George Kittle,Minnesota Vikings,143.27200000000002,49800
134,Deshaun Watson,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Allen Robinson,Eric Ebron,Alvin Kamara,Dallas Cowboys,143.26800000000003,49700
135,Matt Ryan,Corey Clement,Tevin Coleman,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Michael Thomas,Minnesota Vikings,143.26200000000003,49500
136,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Allen Robinson,Chicago Bears,143.262,50000
137,Patrick Mahomes,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,Giovani Bernard,Dallas Cowboys,143.25200000000004,49700
138,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Will Fuller,Eric Ebron,Alvin Kamara,Dallas Cowboys,143.252,49800
139,Matt Ryan,Todd Gurley,Giovani Bernard,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,George Kittle,Dallas Cowboys,143.22200000000004,49800
140,Deshaun Watson,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,George Kittle,Chicago Bears,143.218,49900
141,Deshaun Watson,Kareem Hunt,Latavius Murray,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Giovani Bernard,Dallas Cowboys,143.20800000000003,49900
