,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
19760,Matthew Stafford,Nick Chubb,Todd Gurley,Robby Anderson,Keelan Cole,Kenny Golladay,Eric Ebron,Ezekiel Elliott,Carolina Panthers,141.454,50000
19761,Jameis Winston,Bilal Powell,Ezekiel Elliott,Adam Thielen,DeAndre Hopkins,Cole Beasley,Kyle Rudolph,Eric Ebron,Tampa Bay Buccaneers,141.454,49600
19762,Joe Flacco,LeSean McCoy,Ezekiel Elliott,Adam Thielen,Marvin Jones,Keelan Cole,David Njoku,Kenny Golladay,Carolina Panthers,141.45399999999998,49600
19763,Matthew Stafford,Kerryon Johnson,Todd Gurley,Golden Tate,Marvin Jones,DeAndre Hopkins,Kyle Rudolph,Eric Ebron,Carolina Panthers,141.45399999999998,49800
19764,Matthew Stafford,Bilal Powell,Todd Gurley,DeAndre Hopkins,Michael Crabtree,Cole Beasley,Kyle Rudolph,Ezekiel Elliott,Carolina Panthers,141.45399999999998,49900
19765,Matthew Stafford,Kerryon Johnson,Todd Gurley,Golden Tate,Marvin Jones,DeAndre Hopkins,Eric Ebron,Cole Beasley,Carolina Panthers,141.45399999999998,49800
19766,Matthew Stafford,Bilal Powell,Todd Gurley,Adam Thielen,Michael Crabtree,Keelan Cole,David Njoku,Eric Ebron,Carolina Panthers,141.45399999999998,49900
19767,Joe Flacco,Bilal Powell,Todd Gurley,Golden Tate,Keelan Cole,Kenny Golladay,Eric Ebron,LeSean McCoy,Carolina Panthers,141.45399999999998,49600
19768,Joe Flacco,Todd Gurley,LeSean McCoy,Adam Thielen,Marvin Jones,Robby Anderson,Kyle Rudolph,Keelan Cole,Buffalo Bills,141.45399999999998,49600
19769,Baker Mayfield,Todd Gurley,LeSean McCoy,Jermaine Kearse,DeAndre Hopkins,Cole Beasley,Eric Ebron,Kenny Golladay,Buffalo Bills,141.452,49800
19770,Baker Mayfield,Nick Chubb,Todd Gurley,DeAndre Hopkins,Michael Crabtree,Keelan Cole,Eric Ebron,Kenny Golladay,Buffalo Bills,141.452,49500
19771,Baker Mayfield,Todd Gurley,LeSean McCoy,Jermaine Kearse,DeAndre Hopkins,Kenny Golladay,Kyle Rudolph,Eric Ebron,Buffalo Bills,141.452,49800
