Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,C.J. Prosise (11574045),C.J. Prosise,11574045,RB/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,SEA,1.3
RB,Tre Madden (11574047),Tre Madden,11574047,RB/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,SEA,0.25
WR,Nick Williams (11574297),Nick Williams,11574297,WR/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,LAR,0.92
WR,KhaDarel Hodge (11574299),KhaDarel Hodge,11574299,WR/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,LAR,0.34
WR,JoJo Natson Jr. (11574301),JoJo Natson Jr.,11574301,WR/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,LAR,0
WR,Malik Turner (11574303),Malik Turner,11574303,WR/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,SEA,0
RB,Marshawn Lynch (11574049),Marshawn Lynch,11574049,RB/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,OAK,13.67
RB,Keith Smith (11574051),Keith Smith,11574051,RB/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,OAK,0.78
RB,Justin Jackson (11574053),Justin Jackson,11574053,RB/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,LAC,0.92
RB,Detrez Newsome (11574055),Detrez Newsome,11574055,RB/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,LAC,0
RB,Derek Watt (11574057),Derek Watt,11574057,RB/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,LAC,0.01
WR,Dwayne Harris (11574305),Dwayne Harris,11574305,WR/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,OAK,1.19
WR,Marcell Ateman (11574307),Marcell Ateman,11574307,WR/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,OAK,0
WR,Geremy Davis (11574309),Geremy Davis,11574309,WR/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,LAC,0
WR,Artavis Scott (11574311),Artavis Scott,11574311,WR/FLEX,3000,LAC@OAK 11/11/2018 04:05PM ET,LAC,0
RB,Patrick DiMarco (11574059),Patrick DiMarco,11574059,RB/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,BUF,0.49
WR,Ray-Ray McCloud III (11574313),Ray-Ray McCloud III,11574313,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,BUF,0.97
WR,Cam Phillips (11574315),Cam Phillips,11574315,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,BUF,0.95
WR,Terrelle Pryor (11574317),Terrelle Pryor,11574317,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,BUF,7.59
WR,Deontay Burnett (11574319),Deontay Burnett,11574319,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,4
WR,Andre Roberts (11574321),Andre Roberts,11574321,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,1.3
WR,ArDarius Stewart (11574323),ArDarius Stewart,11574323,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,0
WR,Charone Peake (11574325),Charone Peake,11574325,WR/FLEX,3000,BUF@NYJ 11/11/2018 01:00PM ET,NYJ,0.4
DST,Jaguars  (11574510),Jaguars ,11574510,DST,2900,JAX@IND 11/11/2018 01:00PM ET,JAX,6
TE,Ed Dickson (11574357),Ed Dickson,11574357,TE/FLEX,2900,SEA@LAR 11/11/2018 04:25PM ET,SEA,6.7
