,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
84,Marvin Hall,CLE,0.8,0.5,0.7,11.9,6.7,9.2,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,1.8,1.0,1.3,10,WR
85,Bennie Fowler,NO,1.4,0.3,0.7,17.4,3.6,9.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.4,1.1,10,WR
86,Brandon Powell,ATL,2.0,0.2,0.7,20.0,2.6,8.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.3,0.9,10,WR
87,Marcus Kemp,MIA,0.8,0.2,0.5,10.4,1.5,5.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.2,0.8,10,WR
88,Dwayne Harris,CHI,1.0,0.2,0.5,11.2,3.0,5.6,0.0,0.0,0.0,0.4,0.0,0.2,2.7,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,0.7,10,WR
89,Noah Brown,DAL,0.7,0.2,0.4,9.4,1.7,5.3,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,1.5,0.2,0.7,10,WR
90,Kevin White,SF,0.5,0.5,0.5,5.4,5.4,5.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.7,0.7,10,WR
91,Trent Sherfield,ARI,0.9,0.0,0.5,12.0,0.0,6.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.7,10,WR
92,JoJo Natson,CLE,0.4,0.2,0.3,5.1,3.3,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.4,0.5,10,WR
93,Pharoh Cooper,CAR,0.4,0.3,0.4,5.1,2.9,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.3,0.5,10,WR
94,Zach Pascal,IND,0.5,0.2,0.4,5.5,2.6,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,0.5,10,WR
95,Shelton Gibson,CAR,0.2,0.2,0.2,4.3,3.4,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.3,0.5,10,WR
96,Dan Arnold,ARI,0.3,0.3,0.3,4.6,4.6,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.5,10,WR
97,Matthew Slater,NE,0.5,0.0,0.2,6.0,0.0,3.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.5,10,WR
98,Marcus Johnson,IND,0.3,0.3,0.3,4.4,4.4,4.4,0.0,0.0,0.0,0.1,0.1,0.1,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,10,WR
99,Trey Quinn,JAC,0.3,0.3,0.3,4.2,4.2,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,10,WR
100,Damiere Byrd,NE,0.4,0.2,0.3,5.2,2.4,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.3,0.4,10,WR
101,Ray-Ray McCloud,PIT,0.4,0.2,0.3,5.6,1.8,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.2,0.4,10,WR
102,Tommylee Lewis,NO,0.2,0.2,0.2,2.7,2.7,2.7,0.0,0.0,0.0,0.1,0.1,0.1,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,10,WR
103,KhaDarel Hodge,CLE,0.3,0.0,0.1,5.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.3,10,WR
104,Isaiah McKenzie,BUF,0.4,0.0,0.2,4.3,0.3,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.3,10,WR
