QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Keenan Allen (15751648),Terry McLaurin (15751652),Keelan Cole (15751772),Darren Waller (15751946),James Robinson (15751420),Rams  (15752149),49700.0,110.49042857142858,152.3547142857143,204.29,3502,312,281,4095,827
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Davante Adams (15751638),Terry McLaurin (15751652),Keelan Cole (15751772),Darren Waller (15751946),James Robinson (15751420),Rams  (15752149),49600.0,113.29042857142858,152.3547142857143,205.48000000000002,846,313,174,1333,145
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Keenan Allen (15751648),Davante Adams (15751638),Keelan Cole (15751772),Darren Waller (15751946),Miles Sanders (15751424),Rams  (15752149),49600.0,112.52042857142858,152.35471428571427,203.77,1361,314,345,2020,280
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Davante Adams (15751638),Terry McLaurin (15751652),Robby Anderson (15751670),Darren Waller (15751946),Keelan Cole (15751772),Lions  (15752142),49500.0,114.84042857142857,152.35185714285714,202.70857142857145,300,315,502,1117,107
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Keenan Allen (15751648),Terry McLaurin (15751652),Robby Anderson (15751670),Darren Waller (15751946),Keelan Cole (15751772),Lions  (15752142),49600.0,112.04042857142859,152.35185714285714,201.51857142857142,1732,316,700,2748,462
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Davante Adams (15751638),Jakeem Grant (15751800),Danny Amendola (15751746),Darren Waller (15751946),Alvin Kamara (15751410),Rams  (15752149),49900.0,111.77042857142858,152.34471428571428,197.0,1973,317,2025,4315,894
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Keenan Allen (15751648),Davante Adams (15751638),Jakeem Grant (15751800),Darren Waller (15751946),Josh Jacobs (15751422),Lions  (15752142),49700.0,111.43042857142858,152.34185714285718,204.54857142857142,2322,318,247,2887,508
Justin Herbert (15751354),Mike Davis (15751496),James Robinson (15751420),Keenan Allen (15751648),Terry McLaurin (15751652),DJ Moore (15751702),Austin Hooper (15751968),Stefon Diggs (15751644),Rams  (15752149),49800.0,112.09042857142857,152.3397142857143,206.19,1688,319,125,2132,301
Derek Carr (15751367),Mike Davis (15751496),Duke Johnson (15751464),Keenan Allen (15751648),Davante Adams (15751638),Terry McLaurin (15751652),Austin Hooper (15751968),Josh Jacobs (15751422),Rams  (15752149),49900.0,110.19142857142857,152.33371428571428,205.012,3890,320,210,4420,936
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Davante Adams (15751638),Danny Amendola (15751746),Stefon Diggs (15751644),Austin Hooper (15751968),Aaron Jones (15751412),Lions  (15752142),49600.0,106.70042857142859,152.32685714285716,201.63857142857142,9492,321,680,10493,2862
