,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
38,Foster Moreau,LV,34.7,12.2,23.7,399.0,134.6,266.2,5.0,1.0,2.3,0.0,0.1,0.0,69.9,20.6,40.2,draft,2022,TE
39,OJ Howard,BUF,39.0,17.0,22.8,423.0,178.0,258.5,3.0,1.0,2.0,0.0,0.2,0.1,60.3,23.8,37.6,draft,2022,TE
40,Geoff Swaim,TEN,37.0,19.0,26.6,297.6,191.0,236.8,4.0,1.9,2.3,0.0,0.1,0.0,53.7,30.7,37.5,draft,2022,TE
41,Daniel Bellinger,NYG,28.0,23.8,25.6,325.0,241.0,270.5,2.0,1.5,1.7,0.2,0.2,0.2,44.5,34.3,37.1,draft,2022,TE
42,Jelani Woods,IND,37.0,13.0,21.7,379.0,134.6,229.9,4.0,1.0,2.1,0.1,1.0,0.5,61.9,20.2,34.2,draft,2022,TE
43,Donald Parham,LAC,23.0,18.0,20.5,255.0,173.7,214.2,3.0,1.2,2.1,0.0,0.1,0.0,41.1,24.3,34.0,draft,2022,TE
44,James O'Shaughnessy,CHI,37.5,6.7,23.2,446.4,71.5,253.8,2.0,0.5,1.3,0.0,0.1,0.0,56.8,10.1,32.8,draft,2022,TE
45,Taysom Hill,NO,24.0,10.0,17.3,284.0,95.0,189.0,3.0,2.0,2.3,1.0,1.0,1.0,46.4,21.5,30.9,draft,2022,TE
46,Durham Smythe,MIA,36.0,10.3,22.7,366.0,90.8,226.9,2.0,0.7,1.3,0.0,0.1,0.0,44.4,13.4,30.2,draft,2022,TE
47,Cade Otton,TB,35.0,11.0,19.7,343.0,135.0,206.2,3.0,1.0,1.7,0.1,1.0,0.5,52.3,19.5,30.0,draft,2022,TE
48,Trey McBride,ARI,37.0,12.0,19.9,355.0,134.9,207.7,3.0,1.0,1.7,0.1,1.0,0.5,53.5,19.3,29.8,draft,2022,TE
49,Pharaoh Brown,HOU,34.0,17.8,24.4,290.0,170.8,230.6,2.0,0.9,1.2,0.0,1.0,0.4,34.2,23.1,29.7,draft,2022,TE
