,Unnamed: 0,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
291,291,WR,Courtland Sutton (15677601),Courtland Sutton,15677601.0,WR/FLEX,3000.0,LAC@DEN 11/01/2020 04:05PM ET,DEN,9.6
292,292,TE,Donald Parham Jr. (15677675),Donald Parham,15677675.0,TE/FLEX,3000.0,LAC@DEN 11/01/2020 04:05PM ET,LAC,6.03
293,293,DST,Broncos  (15677815),Broncos,15677815.0,DST,3000.0,LAC@DEN 11/01/2020 04:05PM ET,DEN,5.83
294,294,WR,Chad Beebe (15677571),Chad Beebe,15677571.0,WR/FLEX,3000.0,MIN@GB 11/01/2020 01:00PM ET,MIN,1.78
295,295,WR,Olabisi Johnson (15677573),Olabisi Johnson,15677573.0,WR/FLEX,3000.0,MIN@GB 11/01/2020 01:00PM ET,MIN,2.38
296,296,WR,Tajae Sharpe (15677575),Tajae Sharpe,15677575.0,WR/FLEX,3000.0,MIN@GB 11/01/2020 01:00PM ET,MIN,0.0
297,297,WR,Dan Chisena (15677577),Dan Chisena,15677577.0,WR/FLEX,3000.0,MIN@GB 11/01/2020 01:00PM ET,MIN,0.0
298,298,WR,K.J. Osborn (15677579),KJ Osborn,15677579.0,WR/FLEX,3000.0,MIN@GB 11/01/2020 01:00PM ET,MIN,0.0
299,299,WR,Equanimeous St. Brown (15677581),Equanimeous St,15677581.0,WR/FLEX,3000.0,MIN@GB 11/01/2020 01:00PM ET,GB,0.0
300,300,WR,Malik Taylor (15677583),Malik Taylor,15677583.0,WR/FLEX,3000.0,MIN@GB 11/01/2020 01:00PM ET,GB,1.93
301,301,WR,Darrius Shepherd (15677585),Darrius Shepherd,15677585.0,WR/FLEX,3000.0,MIN@GB 11/01/2020 01:00PM ET,GB,1.68
302,302,TE,Irv Smith Jr. (15677673),Irv Smith,15677673.0,TE/FLEX,3000.0,MIN@GB 11/01/2020 01:00PM ET,MIN,4.22
303,303,WR,Austin Carr (15677559),Austin Carr,15677559.0,WR/FLEX,3000.0,NO@CHI 11/01/2020 04:25PM ET,NO,1.6
304,304,WR,Juwan Johnson (15677561),Juwan Johnson,15677561.0,WR/FLEX,3000.0,NO@CHI 11/01/2020 04:25PM ET,NO,0.0
305,305,WR,Bennie Fowler III (15677563),Bennie Fowler,15677563.0,WR/FLEX,3000.0,NO@CHI 11/01/2020 04:25PM ET,NO,0.62
306,306,WR,Javon Wims (15677565),Javon Wims,15677565.0,WR/FLEX,3000.0,NO@CHI 11/01/2020 04:25PM ET,CHI,1.8
307,307,WR,Ted Ginn Jr. (15677567),Ted Ginn,15677567.0,WR/FLEX,3000.0,NO@CHI 11/01/2020 04:25PM ET,CHI,1.4
308,308,WR,Riley Ridley (15677569),Riley Ridley,15677569.0,WR/FLEX,3000.0,NO@CHI 11/01/2020 04:25PM ET,CHI,0.0
309,309,WR,Miles Boykin (15677465),Miles Boykin,15677465.0,WR/FLEX,3000.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,3.87
310,310,WR,James Washington (15677467),James Washington,15677467.0,WR/FLEX,3000.0,PIT@BAL 11/01/2020 01:00PM ET,PIT,7.92
311,311,WR,Devin Duvernay (15677547),Devin Duvernay,15677547.0,WR/FLEX,3000.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,4.87
312,312,WR,Chris Moore (15677549),Chris Moore,15677549.0,WR/FLEX,3000.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,0.0
313,313,WR,James Proche (15677551),James Proche,15677551.0,WR/FLEX,3000.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,0.0
314,314,WR,Antoine Wesley (15677553),Antoine Wesley,15677553.0,WR/FLEX,3000.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,0.0
315,315,WR,DeAndrew White (15677555),DeAndrew White,15677555.0,WR/FLEX,3000.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,0.0
316,316,WR,Ray-Ray McCloud III (15677557),Ray-Ray McCloud,15677557.0,WR/FLEX,3000.0,PIT@BAL 11/01/2020 01:00PM ET,PIT,2.28
317,317,TE,Nick Boyle (15677671),Nick Boyle,15677671.0,TE/FLEX,3000.0,PIT@BAL 11/01/2020 01:00PM ET,BAL,4.55
318,318,WR,Kalif Raymond (15677535),Kalif Raymond,15677535.0,WR/FLEX,3000.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,4.72
319,319,WR,Nick Westbrook-Ikhine (15677537),Nick Westbrook-Ikhine,15677537.0,WR/FLEX,3000.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,0.92
320,320,WR,Mike Thomas (15677539),Mike Thomas,15677539.0,WR/FLEX,3000.0,TEN@CIN 11/01/2020 01:00PM ET,CIN,4.47
321,321,WR,Auden Tate (15677541),Auden Tate,15677541.0,WR/FLEX,3000.0,TEN@CIN 11/01/2020 01:00PM ET,CIN,1.92
322,322,WR,Alex Erickson (15677543),Alex Erickson,15677543.0,WR/FLEX,3000.0,TEN@CIN 11/01/2020 01:00PM ET,CIN,0.37
323,323,WR,John Ross III (15677545),John Ross,15677545.0,WR/FLEX,3000.0,TEN@CIN 11/01/2020 01:00PM ET,CIN,1.85
324,324,TE,Anthony Firkser (15677669),Anthony Firkser,15677669.0,TE/FLEX,3000.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,7.82
325,325,DST,Titans  (15677816),Titans,15677816.0,DST,3000.0,TEN@CIN 11/01/2020 01:00PM ET,TEN,4.5
326,326,WR,Zay Jones (15677523),Zay Jones,15677523.0,WR/FLEX,3000.0,LV@CLE 11/01/2020 01:00PM ET,LV,4.62
327,327,WR,Rico Gafford (15677525),Rico Gafford,15677525.0,WR/FLEX,3000.0,LV@CLE 11/01/2020 01:00PM ET,LV,0.0
328,328,WR,Tyrell Williams (15677527),Tyrell Williams,15677527.0,WR/FLEX,3000.0,LV@CLE 11/01/2020 01:00PM ET,LV,0.0
329,329,WR,Taywan Taylor (15677529),Taywan Taylor,15677529.0,WR/FLEX,3000.0,LV@CLE 11/01/2020 01:00PM ET,CLE,0.0
330,330,WR,KhaDarel Hodge (15677531),KhaDarel Hodge,15677531.0,WR/FLEX,3000.0,LV@CLE 11/01/2020 01:00PM ET,CLE,2.7
331,331,WR,JoJo Natson (15677533),JoJo Natson,15677533.0,WR/FLEX,3000.0,LV@CLE 11/01/2020 01:00PM ET,CLE,0.1
332,332,WR,Gunner Olszewski (15677509),Gunner Olszewski,15677509.0,WR/FLEX,3000.0,NE@BUF 11/01/2020 01:00PM ET,NE,0.7
333,333,WR,Matthew Slater (15677511),Matthew Slater,15677511.0,WR/FLEX,3000.0,NE@BUF 11/01/2020 01:00PM ET,NE,0.0
334,334,WR,Quincy Adeboyejo (15677513),Quincy Adeboyejo,15677513.0,WR/FLEX,3000.0,NE@BUF 11/01/2020 01:00PM ET,NE,0.0
335,335,WR,Isaiah McKenzie (15677515),Isaiah McKenzie,15677515.0,WR/FLEX,3000.0,NE@BUF 11/01/2020 01:00PM ET,BUF,4.53
336,336,WR,Andre Roberts (15677517),Andre Roberts,15677517.0,WR/FLEX,3000.0,NE@BUF 11/01/2020 01:00PM ET,BUF,0.41
